,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
16501,6229,6229,GO:0060086,GO:0008286,1.6355467533899877
16502,16070,16070,GO:0070102,GO:0007571,1.6349965038479088
16503,8730,8730,GO:0008286,GO:0045222,1.6347537513655936
16504,16657,16657,GO:0007571,GO:0046656,1.6342620378582389
16505,5177,5177,GO:0042417,GO:0007259,1.6338089304841226
16506,9285,9285,GO:0006412,GO:0000096,1.6337446783121716
16507,17391,17391,GO:0006749,GO:2000479,1.6333143867626627
16508,8732,8732,GO:0008286,GO:0051726,1.6329693081245875
16509,11593,11593,GO:0006595,GO:0006412,1.6323458532334976
16510,8756,8756,GO:0008286,GO:0060086,1.6321957034037349
16511,9994,9994,GO:0032869,GO:0007267,1.6319937669501858
16512,10561,10561,GO:0007267,GO:0008203,1.6312295263701908
16513,12706,12706,GO:0010468,GO:0004971,1.630014610992872
16514,7021,7021,GO:1900407,GO:0034205,1.6291070716047913
16515,12165,12165,GO:0001666,GO:2000479,1.6282506511718888
16516,11501,11501,GO:0007259,GO:0043491,1.627290596696626
16517,1525,1525,GO:0004915,GO:0051414,1.6272119304301154
16518,1508,1508,GO:0004915,GO:0046685,1.6253621835477294
16519,17896,17896,GO:0042987,GO:0032869,1.624373230467683
16520,209,209,GO:0010506,GO:0030193,1.6242179463981608
16521,14618,14618,GO:0008203,GO:0038146,1.623558658241994
16522,5070,5070,GO:0010628,GO:0070482,1.62317674310113
16523,6175,6175,GO:0060086,GO:0004915,1.6231470035566675
16524,15217,15217,GO:0061684,GO:0030193,1.6229713876984229
16525,11470,11470,GO:0007259,GO:0019222,1.622792112870681
16526,3156,3156,GO:0030968,GO:0032869,1.6226409186425212
16527,9985,9985,GO:0032869,GO:0006412,1.6225040387764174
16528,9753,9753,GO:0005248,GO:2000479,1.622081489222841
16529,1518,1518,GO:0004915,GO:0006098,1.6217072148108176
16530,1568,1568,GO:0004915,GO:0010468,1.6211710463026254
16531,7521,7521,GO:0007623,GO:0008292,1.621002043653141
16532,13876,13876,GO:0043161,GO:0032869,1.6206896551724137
