,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
158,4932,4932,GO:0007267,GO:0006412,306.1666666666667
159,4798,4798,GO:0031016,GO:0006412,306.1666666666667
156,14507,14507,GO:0006412,GO:0031016,306.1666666666667
157,14508,14508,GO:0006412,GO:0007267,306.1666666666667
160,14577,14577,GO:0006412,GO:0044419,306.14285714285717
161,14178,14178,GO:0044419,GO:0006412,306.14285714285717
162,14526,14526,GO:0006412,GO:0072378,306.0
163,7344,7344,GO:0072378,GO:0006412,306.0
164,14530,14530,GO:0006412,GO:0009649,305.7999999999999
165,7880,7880,GO:0009649,GO:0006412,305.7999999999999
166,3994,3994,GO:0050829,GO:0006412,305.5128205128205
167,14500,14500,GO:0006412,GO:0002456,305.5128205128205
168,14501,14501,GO:0006412,GO:0050829,305.5128205128205
169,3860,3860,GO:0002456,GO:0006412,305.5128205128205
170,14506,14506,GO:0006412,GO:0051414,305.3333333333333
171,4664,4664,GO:0051414,GO:0006412,305.3333333333333
174,14575,14575,GO:0006412,GO:0038146,305.04761904761915
175,14574,14574,GO:0006412,GO:0038160,305.04761904761915
173,13776,13776,GO:0038160,GO:0006412,305.04761904761915
172,13910,13910,GO:0038146,GO:0006412,305.04761904761915
177,6942,6942,GO:0060086,GO:0006412,304.93333333333334
176,14523,14523,GO:0006412,GO:0060086,304.93333333333334
178,14483,14483,GO:0006412,GO:0006935,304.83333333333337
179,1582,1582,GO:0006935,GO:0006412,304.83333333333337
180,14482,14482,GO:0006412,GO:0007596,304.0
181,1448,1448,GO:0007596,GO:0006412,304.0
182,5334,5334,GO:0071470,GO:0006412,303.8704318936877
183,14511,14511,GO:0006412,GO:0071470,303.8704318936877
184,5200,5200,GO:0061621,GO:0006412,303.72000000000014
185,5468,5468,GO:0006970,GO:0006412,303.72000000000014
186,14509,14509,GO:0006412,GO:0006973,303.72000000000014
187,5066,5066,GO:0006973,GO:0006412,303.72000000000014
188,14512,14512,GO:0006412,GO:0006970,303.72000000000014
189,14510,14510,GO:0006412,GO:0061621,303.72000000000014
191,11364,11364,GO:0000161,GO:0006412,303.43333333333334
190,14556,14556,GO:0006412,GO:0000161,303.43333333333334
192,510,510,GO:0060333,GO:0006412,303.40206185567
193,14475,14475,GO:0006412,GO:0060333,303.40206185567
194,6674,6674,GO:0007623,GO:0006412,303.1315789473685
195,14521,14521,GO:0006412,GO:0007623,303.1315789473685
196,14601,14601,GO:0006412,GO:0019372,303.0
197,17394,17394,GO:0019372,GO:0006412,303.0
198,14516,14516,GO:0006412,GO:0006098,302.6121212121212
199,6004,6004,GO:0006098,GO:0006412,302.6121212121212
200,6808,6808,GO:0006091,GO:0006412,302.4871794871795
201,14522,14522,GO:0006412,GO:0006091,302.4871794871795
202,14567,14567,GO:0006412,GO:0030383,302.45454545454544
203,12838,12838,GO:0030383,GO:0006412,302.45454545454544
204,14568,14568,GO:0006412,GO:0006955,302.45454545454544
205,12972,12972,GO:0006955,GO:0006412,302.45454545454544
207,14525,14525,GO:0006412,GO:0097210,302.41784037558693
206,7210,7210,GO:0097210,GO:0006412,302.41784037558693
209,14578,14578,GO:0006412,GO:0032313,302.2000000000001
208,14312,14312,GO:0032313,GO:0006412,302.2000000000001
210,14598,14598,GO:0006412,GO:0038029,302.1785714285715
212,16992,16992,GO:0038029,GO:0006412,302.1785714285715
213,14597,14597,GO:0006412,GO:0035559,302.1785714285715
211,16858,16858,GO:0035559,GO:0006412,302.1785714285715
214,912,912,GO:0042752,GO:0006412,302.1196130167106
215,14478,14478,GO:0006412,GO:0042752,302.1196130167106
216,14599,14599,GO:0006412,GO:0008653,302.00000000000006
217,17126,17126,GO:0008653,GO:0006412,302.00000000000006
218,17260,17260,GO:0008588,GO:0006412,302.00000000000006
219,14600,14600,GO:0006412,GO:0008588,302.00000000000006
220,14557,14557,GO:0006412,GO:0040014,301.6
221,11498,11498,GO:0040014,GO:0006412,301.6
224,10828,10828,GO:0001867,GO:0006412,301.0
227,10560,10560,GO:0006956,GO:0006412,301.0
226,14552,14552,GO:0006412,GO:0001867,301.0
225,14551,14551,GO:0006412,GO:0006958,301.0
223,10694,10694,GO:0006958,GO:0006412,301.0
222,14550,14550,GO:0006412,GO:0006956,301.0
228,6272,6272,GO:0006119,GO:0006412,300.76666666666665
229,6138,6138,GO:0006099,GO:0006412,300.76666666666665
230,14517,14517,GO:0006412,GO:0006099,300.76666666666665
231,14518,14518,GO:0006412,GO:0006119,300.76666666666665
235,9488,9488,GO:0007050,GO:0006412,300.4166666666667
234,9622,9622,GO:0006281,GO:0006412,300.4166666666667
233,14543,14543,GO:0006412,GO:0006281,300.4166666666667
232,14542,14542,GO:0006412,GO:0007050,300.4166666666667
236,17528,17528,GO:0036333,GO:0006412,300.1666666666667
237,14602,14602,GO:0006412,GO:0036333,300.1666666666667
238,14591,14591,GO:0006412,GO:0040020,299.6666666666667
239,16188,16188,GO:0051321,GO:0006412,299.6666666666667
240,16054,16054,GO:0040020,GO:0006412,299.6666666666667
241,14592,14592,GO:0006412,GO:0051321,299.6666666666667
243,14593,14593,GO:0006412,GO:0030968,299.66666666666663
242,16322,16322,GO:0030968,GO:0006412,299.66666666666663
244,7612,7612,GO:0007173,GO:0006412,298.7600000000001
245,14528,14528,GO:0006412,GO:0007173,298.7600000000001
246,1046,1046,GO:0000096,GO:0006412,298.0761904761905
247,14480,14480,GO:0006412,GO:0006595,298.0761904761905
248,14479,14479,GO:0006412,GO:0000096,298.0761904761905
249,1180,1180,GO:0006595,GO:0006412,298.0761904761905
250,16590,16590,GO:0002376,GO:0006412,298.0
251,14595,14595,GO:0006412,GO:0002376,298.0
253,15384,15384,GO:0006749,GO:0006412,297.5
252,14586,14586,GO:0006412,GO:0006749,297.5
254,14505,14505,GO:0006412,GO:0000278,297.0
255,4530,4530,GO:0000278,GO:0006412,297.0
256,6540,6540,GO:0070482,GO:0006412,293.2
257,6406,6406,GO:0001666,GO:0006412,293.2
258,14520,14520,GO:0006412,GO:0070482,293.2
259,14519,14519,GO:0006412,GO:0001666,293.2
263,10158,10158,GO:0009814,GO:0006412,284.33333333333337
265,10292,10292,GO:0046718,GO:0006412,284.33333333333337
264,10426,10426,GO:0019058,GO:0006412,284.33333333333337
260,14548,14548,GO:0006412,GO:0046718,284.33333333333337
262,14549,14549,GO:0006412,GO:0019058,284.33333333333337
261,14547,14547,GO:0006412,GO:0009814,284.33333333333337
266,15898,15898,GO:0070053,GO:1901576,222.47469458987786
267,11641,11641,GO:1901576,GO:0036363,222.47469458987786
268,11605,11605,GO:1901576,GO:0050790,222.47469458987786
269,15764,15764,GO:0036363,GO:1901576,222.47469458987786
270,13620,13620,GO:1901554,GO:1901576,222.47469458987786
271,11642,11642,GO:1901576,GO:0070053,222.47469458987786
272,10940,10940,GO:0050790,GO:1901576,222.47469458987786
273,11625,11625,GO:1901576,GO:1901554,222.47469458987786
281,15832,15832,GO:0070053,GO:0008152,221.11958405545928
280,2761,2761,GO:0008152,GO:0050790,221.11958405545928
277,10874,10874,GO:0050790,GO:0008152,221.11958405545928
279,15698,15698,GO:0036363,GO:0008152,221.11958405545928
278,2797,2797,GO:0008152,GO:0036363,221.11958405545928
275,2798,2798,GO:0008152,GO:0070053,221.11958405545928
274,13554,13554,GO:1901554,GO:0008152,221.11958405545928
276,2781,2781,GO:0008152,GO:1901554,221.11958405545928
282,11524,11524,GO:1901576,GO:0022402,216.47469458987786
283,2096,2096,GO:0031575,GO:1901576,216.47469458987786
284,86,86,GO:0022402,GO:1901576,216.47469458987786
285,11539,11539,GO:1901576,GO:0031575,216.47469458987786
286,4374,4374,GO:0008292,GO:1901576,215.97469458987786
287,11556,11556,GO:1901576,GO:0008292,215.97469458987786
290,20,20,GO:0022402,GO:0008152,215.11958405545928
291,2030,2030,GO:0031575,GO:0008152,215.11958405545928
288,2695,2695,GO:0008152,GO:0031575,215.11958405545928
289,2680,2680,GO:0008152,GO:0022402,215.11958405545928
292,11590,11590,GO:1901576,GO:1902903,214.97469458987786
293,8930,8930,GO:1902903,GO:1901576,214.97469458987786
294,2712,2712,GO:0008152,GO:0008292,214.61958405545928
295,4308,4308,GO:0008292,GO:0008152,214.61958405545928
298,11622,11622,GO:1901576,GO:0010628,214.47469458987786
299,13218,13218,GO:0010628,GO:1901576,214.47469458987786
296,13084,13084,GO:0016563,GO:1901576,214.47469458987786
297,11621,11621,GO:1901576,GO:0016563,214.47469458987786
300,8864,8864,GO:1902903,GO:0008152,213.61958405545928
301,2746,2746,GO:0008152,GO:1902903,213.61958405545928
302,2778,2778,GO:0008152,GO:0010628,213.11958405545928
303,2777,2777,GO:0008152,GO:0016563,213.11958405545928
304,13152,13152,GO:0010628,GO:0008152,213.11958405545928
305,13018,13018,GO:0016563,GO:0008152,213.11958405545928
306,11588,11588,GO:1901576,GO:0032869,212.9427796962608
307,8662,8662,GO:0032869,GO:1901576,212.9427796962608
308,12682,12682,GO:0004971,GO:1901576,212.72469458987786
309,11618,11618,GO:1901576,GO:0004971,212.72469458987786
310,11617,11617,GO:1901576,GO:0000114,212.47469458987786
311,12548,12548,GO:0000114,GO:1901576,212.47469458987786
312,1292,1292,GO:0031639,GO:1901576,212.47469458987786
313,11533,11533,GO:1901576,GO:0031639,212.47469458987786
315,11589,11589,GO:1901576,GO:2000479,212.3413612565445
314,8796,8796,GO:2000479,GO:1901576,212.3413612565445
317,12414,12414,GO:0046656,GO:1901576,211.97120418848166
318,11637,11637,GO:1901576,GO:0045087,211.97120418848166
319,11616,11616,GO:1901576,GO:0046656,211.97120418848166
316,15228,15228,GO:0045087,GO:1901576,211.97120418848166
323,11549,11549,GO:1901576,GO:0048167,211.804537521815
325,11547,11547,GO:1901576,GO:1900271,211.804537521815
324,11548,11548,GO:1901576,GO:1900452,211.804537521815
322,3436,3436,GO:0048167,GO:1901576,211.804537521815
321,3302,3302,GO:1900452,GO:1901576,211.804537521815
320,3168,3168,GO:1900271,GO:1901576,211.804537521815
326,2744,2744,GO:0008152,GO:0032869,211.58766916184223
327,8596,8596,GO:0032869,GO:0008152,211.58766916184223
328,11628,11628,GO:1901576,GO:0010506,211.5823152995928
329,14022,14022,GO:0010506,GO:1901576,211.5823152995928
330,12616,12616,GO:0004971,GO:0008152,211.36958405545928
331,2774,2774,GO:0008152,GO:0004971,211.36958405545928
335,1226,1226,GO:0031639,GO:0008152,211.11958405545928
334,2689,2689,GO:0008152,GO:0031639,211.11958405545928
333,2773,2773,GO:0008152,GO:0000114,211.11958405545928
332,12482,12482,GO:0000114,GO:0008152,211.11958405545928
336,2745,2745,GO:0008152,GO:2000479,210.98625072212602
337,8730,8730,GO:2000479,GO:0008152,210.98625072212602
338,2793,2793,GO:0008152,GO:0045087,210.60225303292896
339,15162,15162,GO:0045087,GO:0008152,210.60225303292896
340,12348,12348,GO:0046656,GO:0008152,210.60225303292896
341,2772,2772,GO:0008152,GO:0046656,210.60225303292896
345,2703,2703,GO:0008152,GO:1900271,210.43558636626227
347,2704,2704,GO:0008152,GO:1900452,210.43558636626227
346,3236,3236,GO:1900452,GO:0008152,210.43558636626227
342,3102,3102,GO:1900271,GO:0008152,210.43558636626227
344,2705,2705,GO:0008152,GO:0048167,210.43558636626227
343,3370,3370,GO:0048167,GO:0008152,210.43558636626227
348,2784,2784,GO:0008152,GO:0010506,210.21336414404004
349,13956,13956,GO:0010506,GO:0008152,210.21336414404004
355,11554,11554,GO:1901576,GO:0009628,209.47120418848166
353,11555,11555,GO:1901576,GO:0033355,209.47120418848166
354,10002,10002,GO:0019722,GO:1901576,209.47120418848166
351,4240,4240,GO:0033355,GO:1901576,209.47120418848166
352,4106,4106,GO:0009628,GO:1901576,209.47120418848166
350,11598,11598,GO:1901576,GO:0019722,209.47120418848166
356,17908,17908,GO:0006690,GO:1901576,208.47120418848166
357,11657,11657,GO:1901576,GO:0006690,208.47120418848166
358,9734,9734,GO:2000772,GO:1901576,208.19851657940663
359,11596,11596,GO:1901576,GO:2000772,208.19851657940663
360,4040,4040,GO:0009628,GO:0008152,208.10225303292896
361,2711,2711,GO:0008152,GO:0033355,208.10225303292896
362,2710,2710,GO:0008152,GO:0009628,208.10225303292896
363,2754,2754,GO:0008152,GO:0019722,208.10225303292896
364,4174,4174,GO:0033355,GO:0008152,208.10225303292896
365,9936,9936,GO:0019722,GO:0008152,208.10225303292896
366,1962,1962,GO:0008203,GO:1901576,207.99643372031258
367,1828,1828,GO:0007571,GO:1901576,207.99643372031258
368,11538,11538,GO:1901576,GO:0008203,207.99643372031258
369,11537,11537,GO:1901576,GO:0007571,207.99643372031258
371,2813,2813,GO:0008152,GO:0006690,207.10225303292896
370,17842,17842,GO:0006690,GO:0008152,207.10225303292896
373,2752,2752,GO:0008152,GO:2000772,206.8320335066436
372,9668,9668,GO:2000772,GO:0008152,206.8320335066436
374,2693,2693,GO:0008152,GO:0007571,206.6413231858941
375,1762,1762,GO:0007571,GO:0008152,206.6413231858941
376,1896,1896,GO:0008203,GO:0008152,206.6413231858941
377,2694,2694,GO:0008152,GO:0008203,206.6413231858941
379,9198,9198,GO:0009734,GO:1901576,206.5232693426411
378,9332,9332,GO:0009873,GO:1901576,206.5232693426411
380,9064,9064,GO:0009736,GO:1901576,206.5232693426411
381,11593,11593,GO:1901576,GO:0009873,206.5232693426411
382,11592,11592,GO:1901576,GO:0009734,206.5232693426411
383,11591,11591,GO:1901576,GO:0009736,206.5232693426411
384,354,354,GO:0010468,GO:1901576,205.47469458987786
385,11526,11526,GO:1901576,GO:0010468,205.47469458987786
390,2747,2747,GO:0008152,GO:0009736,205.14047756595417
391,2748,2748,GO:0008152,GO:0009734,205.14047756595417
389,2749,2749,GO:0008152,GO:0009873,205.14047756595417
388,9266,9266,GO:0009873,GO:0008152,205.14047756595417
387,8998,8998,GO:0009736,GO:0008152,205.14047756595417
386,9132,9132,GO:0009734,GO:0008152,205.14047756595417
392,11585,11585,GO:1901576,GO:0030193,205.13787085514838
393,8260,8260,GO:0030193,GO:1901576,205.13787085514838
394,11640,11640,GO:1901576,GO:0007179,205.10756782484526
395,15630,15630,GO:0007179,GO:1901576,205.10756782484526
396,2682,2682,GO:0008152,GO:0010468,204.11958405545928
397,288,288,GO:0010468,GO:0008152,204.11958405545928
400,3570,3570,GO:0070102,GO:1901576,203.8459463747422
401,11550,11550,GO:1901576,GO:0070102,203.8459463747422
398,11551,11551,GO:1901576,GO:0019221,203.8459463747422
399,3704,3704,GO:0019221,GO:1901576,203.8459463747422
402,2741,2741,GO:0008152,GO:0030193,203.76891969959564
403,8194,8194,GO:0030193,GO:0008152,203.76891969959564
405,14156,14156,GO:0044419,GO:1901576,203.75691847419603
404,11629,11629,GO:1901576,GO:0044419,203.75691847419603
407,2796,2796,GO:0008152,GO:0007179,203.73861666929253
406,15564,15564,GO:0007179,GO:0008152,203.73861666929253
408,17640,17640,GO:1900407,GO:1901576,202.89743369667838
409,11656,11656,GO:1901576,GO:0008286,202.89743369667838
410,11655,11655,GO:1901576,GO:1900407,202.89743369667838
411,17774,17774,GO:0008286,GO:1901576,202.89743369667838
412,8394,8394,GO:0030163,GO:1901576,202.71867364746947
413,8528,8528,GO:0016567,GO:1901576,202.71867364746947
414,11587,11587,GO:1901576,GO:0016567,202.71867364746947
415,11586,11586,GO:1901576,GO:0030163,202.71867364746947
426,787,787,GO:0019395,GO:0036363,202.53846153846152
428,15817,15817,GO:0070053,GO:0019395,202.53846153846152
427,771,771,GO:0019395,GO:1901554,202.53846153846152
424,637,637,GO:0005739,GO:1901554,202.53846153846152
429,751,751,GO:0019395,GO:0050790,202.53846153846152
430,15683,15683,GO:0036363,GO:0019395,202.53846153846152
431,15816,15816,GO:0070053,GO:0005739,202.53846153846152
425,13538,13538,GO:1901554,GO:0005739,202.53846153846152
417,15682,15682,GO:0036363,GO:0005739,202.53846153846152
423,654,654,GO:0005739,GO:0070053,202.53846153846152
419,10858,10858,GO:0050790,GO:0005739,202.53846153846152
416,788,788,GO:0019395,GO:0070053,202.53846153846152
418,617,617,GO:0005739,GO:0050790,202.53846153846152
422,653,653,GO:0005739,GO:0036363,202.53846153846152
420,13539,13539,GO:1901554,GO:0019395,202.53846153846152
421,10859,10859,GO:0050790,GO:0019395,202.53846153846152
432,3504,3504,GO:0070102,GO:0008152,202.49330392311333
434,2706,2706,GO:0008152,GO:0070102,202.49330392311333
435,2707,2707,GO:0008152,GO:0019221,202.49330392311333
433,3638,3638,GO:0019221,GO:0008152,202.49330392311333
436,14090,14090,GO:0044419,GO:0008152,202.38796731864326
437,2785,2785,GO:0008152,GO:0044419,202.38796731864326
438,7322,7322,GO:0072378,GO:1901576,201.71867364746947
439,11578,11578,GO:1901576,GO:0072378,201.71867364746947
440,11534,11534,GO:1901576,GO:0007596,201.66771378708557
441,1426,1426,GO:0007596,GO:1901576,201.66771378708557
443,2811,2811,GO:0008152,GO:1900407,201.52848254112567
445,17574,17574,GO:1900407,GO:0008152,201.52848254112567
442,2812,2812,GO:0008152,GO:0008286,201.52848254112567
444,17708,17708,GO:0008286,GO:0008152,201.52848254112567
446,11653,11653,GO:1901576,GO:0019372,201.47120418848166
447,17372,17372,GO:0019372,GO:1901576,201.47120418848166
448,2743,2743,GO:0008152,GO:0016567,201.36603119584046
449,8462,8462,GO:0016567,GO:0008152,201.36603119584046
450,8328,8328,GO:0030163,GO:0008152,201.36603119584046
451,2742,2742,GO:0008152,GO:0030163,201.36603119584046
452,2230,2230,GO:0004915,GO:1901576,201.01148854867125
453,11541,11541,GO:1901576,GO:0007259,201.01148854867125
454,11540,11540,GO:1901576,GO:0004915,201.01148854867125
455,2364,2364,GO:0007259,GO:1901576,201.01148854867125
456,7256,7256,GO:0072378,GO:0008152,200.36603119584046
457,2734,2734,GO:0008152,GO:0072378,200.36603119584046
459,1360,1360,GO:0007596,GO:0008152,200.2849220103986
458,2690,2690,GO:0008152,GO:0007596,200.2849220103986
460,17306,17306,GO:0019372,GO:0008152,200.10225303292896
461,2809,2809,GO:0008152,GO:0019372,200.10225303292896
462,2697,2697,GO:0008152,GO:0007259,199.64253739311852
464,2298,2298,GO:0007259,GO:0008152,199.64253739311852
